index,time,type,process,f,value,error,time_seconds,time_diff_seconds
0,3444514819,invoke,5.0,write,0,,3.444514819,
1,3455953913,invoke,6.0,cas,0,,3.455953913,0.011439093999999983
2,3458177415,invoke,7.0,write,0,,3.458177415,0.0022235020000000993
3,3458799208,invoke,8.0,cas,0,,3.458799208,0.0006217929999996485
4,3461336542,invoke,9.0,write,0,,3.461336542,0.0025373340000003353
5,3462116028,invoke,0.0,read,0,,3.462116028,0.0007794859999998849
6,3464625840,invoke,1.0,read,0,,3.46462584,0.002509812
7,3467530783,invoke,2.0,read,0,,3.467530783,0.002904942999999882
8,3468663420,invoke,3.0,read,0,,3.46866342,0.001132636999999992
9,3469507258,invoke,4.0,read,0,,3.469507258,0.0008438380000002077
10,3560901516,ok,5.0,write,0,,3.560901516,0.09139425799999978
11,3561174118,invoke,5.0,cas,0,,3.561174118,0.00027260199999989965
12,3565728188,fail,6.0,cas,0,,3.565728188,0.004554070000000188
13,3566300124,invoke,6.0,cas,0,,3.566300124,0.0005719360000000506
14,3572770052,fail,8.0,cas,0,,3.572770052,0.006469928000000014
15,3572942488,invoke,8.0,write,0,,3.572942488,0.00017243599999972048
16,3585492748,ok,5.0,cas,0,,3.585492748,0.012550260000000257
17,3585661138,ok,2.0,read,0,,3.585661138,0.0001683899999997962
18,3585749114,ok,4.0,read,0,,3.585749114,8.797600000010064e-05
19,3585813498,ok,3.0,read,0,,3.585813498,6.438399999986189e-05
20,3585867506,ok,9.0,write,0,,3.585867506,5.400800000021633e-05
21,3585928422,invoke,3.0,read,0,,3.585928422,6.091599999979991e-05
22,3591329793,ok,1.0,read,0,,3.591329793,0.005401371000000044
23,3591451234,ok,7.0,write,0,,3.591451234,0.00012144100000011093
24,3591520375,ok,0.0,read,0,,3.591520375,6.914099999999479e-05
25,3591606914,fail,6.0,cas,0,,3.591606914,8.653900000021864e-05
26,3591656685,invoke,4.0,read,0,,3.591656685,4.977099999958767e-05
27,3593315057,ok,8.0,write,0,,3.593315057,0.0016583720000000746
28,3593507517,invoke,5.0,write,0,,3.593507517,0.00019246000000006092
29,3597061749,invoke,6.0,cas,0,,3.597061749,0.003554231999999935
30,3599589719,ok,3.0,read,0,,3.599589719,0.002527970000000046
31,3599782304,invoke,0.0,read,0,,3.599782304,0.0001925850000001894
32,3602390448,invoke,1.0,read,0,,3.602390448,0.002608143999999868
33,3605787606,invoke,2.0,read,0,,3.605787606,0.0033971579999998447
34,3608192965,ok,4.0,read,0,,3.608192965,0.0024053590000003844
35,3608447549,invoke,3.0,read,0,,3.608447549,0.0002545839999998911
36,3615331180,ok,5.0,write,0,,3.61533118,0.006883631000000001
37,3616424011,invoke,5.0,cas,0,,3.616424011,0.0010928309999997943
38,3618638741,ok,1.0,read,0,,3.618638741,0.0022147299999999426
39,3618860421,invoke,1.0,read,0,,3.618860421,0.0002216800000001129
40,3621258398,invoke,7.0,write,0,,3.621258398,0.0023979770000002176
41,3623576616,fail,6.0,cas,0,,3.623576616,0.00231821799999965
42,3624808530,ok,0.0,read,0,,3.62480853,0.0012319140000003337
43,3624952147,invoke,6.0,write,0,,3.624952147,0.00014361699999998478
44,3630989868,ok,2.0,read,0,,3.630989868,0.006037720999999774
45,3631141494,invoke,4.0,read,0,,3.631141494,0.00015162600000007131
46,3633691497,fail,5.0,cas,0,,3.633691497,0.0025500030000000784
47,3634009748,ok,3.0,read,0,,3.634009748,0.0003182509999999361
48,3634191881,invoke,5.0,write,0,,3.634191881,0.00018213300000002874
49,3637786504,invoke,8.0,write,0,,3.637786504,0.00359462300000013
50,3638498729,ok,1.0,read,0,,3.638498729,0.0007122250000000108
51,3638570416,invoke,0.0,read,0,,3.638570416,7.16869999997094e-05
52,3643821328,invoke,1.0,read,0,,3.643821328,0.005250912000000163
53,3651672951,ok,7.0,write,0,,3.651672951,0.007851623000000085
54,3651789388,ok,6.0,write,0,,3.651789388,0.00011643699999996926
55,3651823439,ok,4.0,read,0,,3.651823439,3.4051000000090426e-05
56,3651854270,invoke,9.0,write,0,,3.65185427,3.083099999967587e-05
57,3652728717,invoke,6.0,cas,0,,3.652728717,0.000874447000000167
58,3654341192,ok,5.0,write,0,,3.654341192,0.0016124749999999466
59,3654455517,ok,8.0,write,0,,3.654455517,0.00011432500000019274
